Date,Rain,T_max,T_min,Tourism,Travel_index,Travel,Bus & Rail,Tourist Destinations,Travel Agencies,value_lag_1,value_lag_2,value_lag_3,value_lag_4,value_lag_5,Tourist Arrivals
2012-12-01,-0.3970046842699052,-1.257939179978821,-1.257939179978821,0.2725318032640752,0.3866792252144818,0.1575419603034536,0.7224536009809888,0.4113891236498916,0,163536.0,231665.75,224915.25,234857.75,193886.75,261357.5
2013-01-01,-0.3970046842699052,-1.4942025105905623,-1.4942025105905623,0.2100098013387873,0.222760858003995,-0.0501471591951835,0.0115990257038234,-0.0926163995651588,1,261357.5,163536.0,231665.75,224915.25,234857.75,220658.0
2013-02-01,-0.3970046842699052,-1.277883487108384,-1.277883487108384,0.2100098013387873,-0.2689942436274655,-0.1193768656947292,-0.4407629767452818,-0.1766173201010005,0,220658.0,261357.5,163536.0,231665.75,224915.25,191777.25
2013-03-01,-0.3970046842699052,-1.1628201767455228,-1.1628201767455228,0.335053805189363,0.5505975924249686,0.2960013733025451,0.2054684553248685,0.4113891236498916,0,191777.25,220658.0,261357.5,163536.0,231665.75,211799.5
2013-04-01,-0.3970046842699052,-0.2085617894695279,-0.2085617894695279,0.3975758071146509,0.5505975924249686,0.0883122538039079,0.0762221689108384,0.3273882031140498,1,211799.5,191777.25,220658.0,261357.5,163536.0,377387.75
2013-05-01,-0.3970046842699052,0.2762382915259935,0.2762382915259935,0.5851418128905144,0.222760858003995,0.6421499058002738,1.0455693170160638,0.8313937263291002,1,377387.75,211799.5,191777.25,220658.0,261357.5,439280.375
2013-06-01,-0.3970046842699052,1.0709422217654871,1.0709422217654871,0.5226198109652266,0.3866792252144818,0.572920199300728,0.6578304577739738,1.335399249544151,1,439280.375,377387.75,211799.5,191777.25,220658.0,262046.25
2013-07-01,-0.3970046842699052,1.241235921102522,1.241235921102522,-0.0400782063623639,-0.9246677124694128,-0.5347551046920036,-0.828501835987372,-0.5966219227802092,1,262046.25,439280.375,377387.75,211799.5,191777.25,195293.875
2013-08-01,0.0289148870200303,1.190608064542863,1.190608064542863,-0.1651222102129396,-0.4329126108379523,-0.7424442241906407,-0.5700092631593119,-0.5966219227802092,0,195293.875,262046.25,439280.375,377387.75,211799.5,237759.875
2013-09-01,0.2149972054762735,1.0003700580762662,1.0003700580762662,-0.1026002082876518,-0.1050758764169786,-0.8116739306901865,-0.5053861199522969,-0.6806228433160509,0,237759.875,195293.875,262046.25,439280.375,377387.75,241003.125
2013-10-01,0.4980117033497602,0.7978586318376305,0.7978586318376305,0.2100098013387873,-0.1050758764169786,-0.7424442241906407,-0.3761398335382668,-0.6806228433160509,0,241003.125,237759.875,195293.875,262046.25,439280.375,259918.875
2013-11-01,-0.1402463982608296,-0.2745314207442349,-0.2745314207442349,0.1474877994134995,-0.1050758764169786,-0.7424442241906407,-0.3115166903312517,-0.6806228433160509,0,259918.875,241003.125,237759.875,195293.875,262046.25,186638.5
2013-12-01,-0.3970046842699052,-1.0922480130563013,-1.0922480130563013,0.2725318032640752,0.222760858003995,0.1575419603034536,0.6578304577739738,0.2433872825782081,0,186638.5,259918.875,241003.125,237759.875,195293.875,274406.75
