Date,Rain,T_max,T_min,Himachal_Pradesh,HP_Tourism,HP_Weather,HP_Travel,Party & Holiday Supplies,Geographic Reference,Travel,Hotels & Accommodations,Air Travel,Bus & Rail,Car & Taxi,Tourist Destinations,Travel Agencies,Tourist Arrivals
2011-06-01,0.0463039488014783,0.8982680510375274,0.6475967260146599,1.4180287278126136,2.0858157176257053,-0.5978027807318028,1.4059136448710332,0,2.0034904254764827,1.4184841579172176,2,0,2.3174952404299938,0,2.0142916015403656,5,1858251.0
2011-07-01,0.6421181009529352,0.7151015277800203,1.4332697841080395,0.3510874985259526,1.2010101378850935,-0.7588688149186098,0.4411517888598256,0,0.7189255873903913,-0.0679703559772247,0,1,-0.6138230636814577,0,0.30280200546031655,0,1144500.5
2011-08-01,0.9534411955795117,0.7283027186454265,1.309058614923753,-0.2712948852245997,0.869208045482364,-0.7588688149186098,-0.20202278181431285,0,0.620112907537615,-0.0679703559772247,1,1,-0.027559402859167394,0,0.1316530458523116,0,1235123.0
2011-09-01,-0.5641071559100246,0.47087949677001134,0.9573763889200494,-0.18238311611737795,0.9798087429499405,-0.8125574929808788,-0.20202278181431285,0,0.1260495082737338,-0.16706732357018753,1,1,0.5587042579631228,0,-0.21064487336369822,2,1290003.5
2011-10-01,-0.9479550572795998,0.06329272880060488,0.026540880093226173,-0.9825890380823737,0.648006650547211,-0.8662461710431478,1.084326359533964,0,0.027236828420957548,-0.7616491291279645,1,1,0.16786181741492937,0,-0.552942792579708,0,1621276.0
2011-11-01,-0.956799391382822,-0.7155775322583421,-0.5690741239470886,-1.249324345404039,0.20560386067690506,-0.8125574929808788,0.11956450352275637,0,-0.4668265708429237,-1.058940031906853,2,1,-0.22298062313326414,0,-0.552942792579708,0,914249.0
2011-12-01,-0.9638292431886496,-0.9911523915736902,-1.366719342925701,-1.0715008071895955,0.09500316320932857,-0.7588688149186098,-0.523610067151382,0,-0.7632646104012525,-1.058940031906853,1,1,-0.6138230636814577,0,-0.552942792579708,2,934846.0
2012-01-01,-0.8152000818743421,-1.9350375384502108,-1.6286103622901609,-0.8047654998679302,-0.01559753425824791,-0.5978027807318028,0.11956450352275637,0,-0.7632646104012525,-1.058940031906853,2,0,-0.22298062313326414,0,-0.8952407117957178,0,766434.5
2012-02-01,-0.8352468168094538,-1.4515439230047202,-1.6181347215155824,-0.5380301925462649,0.31620455814448156,-0.7051801368563408,-0.8451973524884513,2,-0.5656392506957,-1.058940031906853,0,0,-0.027559402859167394,0,-0.552942792579708,0,859705.0
2012-03-01,-0.8668710131630671,-0.05221769127169648,-0.8818468270737865,-0.44911842343904324,0.7586073480147875,-0.7051801368563408,-0.20202278181431285,0,-0.17038853128459494,-0.464358226349076,2,0,0.5587042579631228,1,-0.552942792579708,2,1157742.0
2012-04-01,-0.6252470999141336,0.23820850776723262,0.11333904651116149,-0.2712948852245997,0.869208045482364,-0.7051801368563408,0.11956450352275637,1,0.3236748679792863,-0.0679703559772247,1,1,0.3632830376890261,0,-0.0394959137556933,2,1710796.5
2012-05-01,-1.1256045314830334,1.4527180673845745,0.2285710950315238,2.307146418884831,1.5328122302878229,-0.5978027807318028,1.4059136448710332,0,1.2129889866542725,0.9229993199524035,2,1,1.1449679187854132,1,2.0142916015403656,0,1729801.75
2012-06-01,-0.9892370637384795,1.3619598801849082,1.1803578854075043,1.8625875733487225,0.869208045482364,-0.5978027807318028,0.4411517888598256,0,1.2129889866542725,0.7248053847664778,4,2,-0.027559402859167394,0,1.500844722716351,0,1574009.5
2012-07-01,1.4905761052782145,1.3289569030213944,1.4886410282022398,0.3510874985259526,0.31620455814448156,-0.6514914587940718,-0.523610067151382,1,0.027236828420957548,-0.2661642911631503,1,0,0.7541254782372196,0,0.1316530458523116,0,1087729.75
